04/19/2026 08:55:32.030 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | <Begin>
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Ashita-v4Radix\
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\retail.ini
04/19/2026 08:55:32.031 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita-v4Radix\\config\boot\retail.ini
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |   file : 
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
04/19/2026 08:55:32.031 | DEBUG    |                             AshitaCore::Initialize |   script : defaultDesktop.txt
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   args : 
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
04/19/2026 08:55:32.032 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
